,ADMrate,Ownership,Citytype,SAT,AvgCost,Major_agriculture,Major_NatureResource,Major_Architecture,Major_CS,Major_Edu,Major_Engineering,Major_Bio,Major_MathStat,Major_Psychology,Major_SocialScience,Major_Business,Major_History,Earn,CrimeRate,ACT,Enrollment,FBI.TotalCrime,FBI.CrimeRate,Application.Deadline
241,0.6204,Public,City,1155,20350,1,1,1,1,1,1,1,1,1,1,2,1,44500,480.1,26,21405,8100,9.83,1-Aug-19
170,0.8095,Public,City,1164,20691,0,1,0,1,1,1,1,1,1,1,2,1,51500,273.5,26,21486,4234,5.66,1-Apr-19
77,,Private for-profit,City,,29975,0,0,0,1,0,0,0,0,0,0,1,0,30700,540.5,,2778,47202,10.78,4-Jan-19
22,0.2167,Private nonprofit,Suburb,1337,57458,0,1,0,0,0,0,1,1,1,1,0,1,60900,329.5,30,1765,278,2.27,2-Jan-19
116,0.4753,Private nonprofit,Town,,59850,0,1,1,1,0,0,1,1,1,1,0,1,49400,381.8,,2344,2244,8.35,1-Feb-19
108,0.7263,Public,City,1215,26165,1,1,1,1,1,1,1,1,1,1,1,1,55900,196.2,,24191,8306,8.32,15-Jan-19
161,0.6107,Private nonprofit,Town,,50008,0,1,0,1,1,0,1,1,1,1,1,1,47600,229.1,,2455,388,3.33,1-Apr-19
103,0.6306,Private nonprofit,City,,57517,0,0,0,1,1,1,1,1,1,1,1,1,59400,219.2,,3936,14204,7.91,15-Jan-19
65,0.4047,Private nonprofit,Suburb,1313,59760,0,0,0,1,0,0,1,1,1,1,0,1,48500,314.1,29,1303,182,1.75,15-Jan-19
100,0.3259,Private nonprofit,City,1254,61352,0,0,1,0,0,0,0,0,0,0,0,0,44900,219.2,30,2014,14204,7.91,1-Feb-19
21,0.2469,Private nonprofit,Suburb,1422,61898,0,0,1,1,0,0,1,1,1,1,0,1,53100,314.1,33,1187,182,1.75,15-Jan-19
4,0.0788,Private nonprofit,City,1500,59020,0,0,1,1,0,1,1,1,0,1,1,1,126500,391.4,34,4476,5888,5.31,1-Jan-19
178,0.7309,Private nonprofit,City,1110,57347,0,1,0,1,1,0,1,1,1,1,1,1,47900,396.1,25,3710,6846,9.63,1-Apr-19
166,0.5332,Public,Suburb,1082,27561,0,1,0,1,0,0,1,1,1,1,1,1,48200,261.2,23,5447,9676,6.6,1-Mar-19
120,0.3546,Private nonprofit,Suburb,1234,61164,0,0,0,1,1,0,1,1,1,1,1,1,67300,396.1,28,3434,770,5.91,5-Jan-19
143,0.711,Private nonprofit,Town,,49890,0,0,0,0,0,0,0,0,0,0,0,0,22400,127.8,,365,174,3.27,15-Feb-19
154,0.7153,Private nonprofit,Suburb,,57966,0,0,0,1,1,1,1,1,1,1,1,1,64600,236.9,,3841,1932,3.13,15-Jan-19
61,0.1802,Private nonprofit,City,1380,62092,0,1,1,1,0,1,1,1,1,1,1,1,74300,396.1,31,18392,237318,5.99,10-Jan-19
102,0.5314,Private nonprofit,Suburb,,64056,0,0,0,0,0,0,0,0,0,0,0,0,39400,381.8,,1366,5916,2.93,1-Jan-19
197,0.7267,Private nonprofit,City,1200,47780,0,1,0,1,1,0,1,1,1,1,2,1,59700,280.4,27,3977,37180,8.22,15-Feb-19
79,0.3734,Private nonprofit,Suburb,1241,60900,0,1,0,1,1,0,1,1,1,1,1,1,45000,381.8,28,2612,1210,4.38,15-Jan-19
133,0.5323,Private nonprofit,City,1184,57450,0,0,1,1,1,1,1,1,1,1,1,1,55000,381.8,27,14768,12458,8.65,1-Jan-19
119,8008,NY,0.081075608,1342,61055,0,1,1,1,1,1,1,1,1,1,1,1,67600,514.7,31,7892,37958,9.65,15-Jan-19
67,0.2801,Private nonprofit,Town,1398,56354,0,0,0,1,0,0,1,1,1,1,0,1,46500,273.5,32,1670,496,5.49,15-Jan-19
39,0.3272,Private nonprofit,Town,1349,62051,0,1,0,1,0,1,1,1,1,1,0,1,35400,284.9,30,2961,504,6.14,15-Jan-19
268,0.8048,Public,City,1128,22929,2,1,1,1,1,1,1,1,1,1,1,1,43600,309.1,25,22373,8656,5.42,1-Feb-19
233,0.8236,Private nonprofit,Suburb,1155,44674,0,1,0,1,1,1,1,1,1,1,1,1,45100,365.3,26,3210,1133,3.48,1-Dec-18
56,0.1713,Private nonprofit,Suburb,1478,63755,0,1,1,1,1,1,1,1,1,1,1,1,68900,442.9,33,6913,51580,16.27,15-Jan-19
261,0.54,Private nonprofit,City,1005,42739,0,1,0,1,1,1,1,1,1,1,0,1,41800,377.3,22,2135,61348,13.2,1-Feb-19
124,0.375,Private nonprofit,City,1372,61820,0,1,1,1,0,1,1,1,1,1,1,0,71400,381.8,30,5557,8008,8.11,15-Jan-19
87,0.647,Private nonprofit,Rural,,47970,0,1,0,1,0,0,1,1,1,1,0,1,42000,608.4,,1616,74,6.32,1-Feb-19
121,0.6452,Private nonprofit,Town,,52710,0,1,0,1,0,1,1,1,1,1,1,1,30700,365.3,,942,16828,11.96,15-Feb-19
53,0.179,Private nonprofit,City,,57400,0,1,0,1,1,0,1,1,1,1,0,1,37600,309.1,,2036,36974,8.17,15-Jan-19
160,0.7417,Private nonprofit,Town,,49098,0,1,0,1,1,1,1,1,1,1,1,1,47300,314.1,,1517,178,2.53,15-Mar-19
148,0.8142,Public,City,1131,18931,0,1,1,1,1,1,1,1,1,1,1,1,51800,215.6,25,22804,39112,20.37,1-Apr-19
35,0.0883,Private nonprofit,City,1545,58755,0,0,0,1,0,1,1,1,0,1,1,1,80500,396.1,35,983,237318,5.99,3-Jan-19
238,0.5729,Private nonprofit,Suburb,,57686,0,1,0,1,1,0,1,1,1,1,1,1,44200,540.5,,2670,2214,7.42,15-Feb-19
254,0.4165,Private nonprofit,Suburb,,51369,0,1,0,1,1,0,1,1,1,1,1,1,48200,314.1,,1323,24124,7.86,1-Mar-19
252,0.6988,Private nonprofit,City,,48173,0,1,1,2,1,0,1,1,1,1,1,1,49700,370,,15858,210116,7.7,1-Feb-19
221,0.7726,Private nonprofit,City,1125,53567,0,1,0,1,1,1,1,1,1,1,1,1,52000,314.1,25,3909,4586,6.11,1-Mar-19
16,0.1724,Private nonprofit,Suburb,1423,61000,0,1,1,1,0,1,1,1,1,1,0,1,82900,391.4,32,5143,1736,3.01,1-Jan-19
125,0.6926,Private nonprofit,City,1239,44261,0,1,0,1,1,0,1,1,1,1,1,1,57200,273.5,28,3290,19884,9.45,1-Dec-18
168,0.6293,Private nonprofit,City,1195,51947,0,1,0,1,1,1,1,1,1,1,1,1,53800,232.3,,3648,14408,8.82,1-Feb-19
245,,Private for-profit,City,,,0,0,0,0,0,0,0,0,0,0,0,0,PrivacySuppressed,480.1,,398,7510,11.05,1-Jun-19
68,0.3522,Private nonprofit,City,1369,61023,0,1,0,1,1,0,1,1,1,1,1,1,53300,391.4,31,3715,1648,2.59,1-Jan-19
37,0.2805,Private nonprofit,Town,1333,59110,0,1,0,1,0,0,1,1,1,1,0,1,55500,127.8,30,1847,1522,9.34,1-Jan-19
235,0.6079,Private nonprofit,Town,1125,48073,0,0,0,0,1,0,1,1,1,1,1,1,44200,427.3,25,1249,612,7.48,1-Feb-19
267,0.6586,Private nonprofit,Suburb,1127,47265,0,0,0,1,0,0,1,1,1,1,1,1,50500,381.8,25,3085,8008,8.11,15-Feb-19
82,0.0883,Private nonprofit,City,1545,58755,0,0,0,1,0,1,1,1,0,1,1,1,80500,396.1,35,983,237318,5.99,3-Jan-19
66,0.5904,Public,City,1326,29086,1,1,1,1,1,1,1,1,1,1,1,1,58100,370,29,31875,5992,7.02,1-Dec-18
265,0.7306,Private nonprofit,City,1144,43963,0,1,0,2,1,0,1,1,1,1,2,1,60300,314.1,26,5969,24124,7.86,1-Jul-19
59,0.246,Private nonprofit,City,1436,61990,0,1,1,1,1,1,1,1,1,1,1,1,87400,314.1,32,5819,24124,7.86,1-Jan-19
105,0.7609,Public,City,1198,23716,0,1,0,1,1,0,1,1,1,1,2,1,48300,365.3,27,32252,5986,7.12,1-May-19
199,0.8122,Public,Town,1098,22444,0,0,0,1,1,1,2,1,1,1,2,1,48000,278.5,24,17809,1005,4.46,1-Jun-19
248,0.8513,Private nonprofit,City,1211,48274,0,0,0,1,1,0,1,1,1,1,1,1,44600,405.9,27,1324,13020,5.51,1-Mar-19
172,0.4918,Private nonprofit,City,1244,53499,0,0,0,0,1,0,0,0,0,0,1,0,41800,391.4,28,3757,40220,6.05,5-Jan-19
187,0.5901,Private nonprofit,City,1194,49540,0,0,0,1,2,1,1,1,1,1,1,1,50200,284.9,27,8305,16828,11.96,1-Mar-19
113,0.1302,Private nonprofit,Suburb,,61416,0,1,1,1,1,1,1,1,1,1,1,1,39400,396.1,,1076,10598,6.86,1-Jan-19
234,0.7335,Private nonprofit,City,1183,52458,0,1,0,1,1,1,1,1,1,1,1,1,52700,285.2,27,4415,83694,12.24,1-Mar-19
175,0.6824,Private nonprofit,Town,,49190,0,1,0,1,1,0,1,1,1,1,0,1,35600,370,,1376,2042,6.48,1-Feb-19
25,0.1077,Private nonprofit,Suburb,1419,62010,0,1,0,1,0,1,1,1,1,1,1,1,70200,396.1,32,1293,10598,6.86,1-Jan-19
259,0.6772,Private nonprofit,Suburb,,46124,0,0,0,0,0,0,1,1,1,1,1,1,39600,377.3,,802,1479,7.17,1-Jun-19
138,0.6609,Public,City,1158,24323,1,1,1,1,1,1,1,1,1,1,1,1,51700,427.3,26,38395,1644,3.38,15-Jan-19
263,0.7814,Private nonprofit,City,1124,38668,0,0,0,1,1,0,1,1,1,1,1,1,43100,280.4,25,1803,19923,7.2,15-Aug-19
216,0.6665,Public,Suburb,1152,23212,0,1,0,2,1,1,1,1,1,1,1,1,55400,196.2,26,21678,6332,4.15,15-Jan-19
229,0.9142,Public,City,1145,23049,0,1,1,1,1,1,1,1,1,1,1,1,48900,348.6,25,18802,16434,10.93,1-Feb-19
191,0.5987,Public,City,1274,19858,0,0,0,0,0,0,0,0,0,0,0,0,PrivacySuppressed,540.5,28,834,5366,9.8,15-Apr-19
0,0.0509,Private nonprofit,Suburb,1465,60311,0,0,0,1,0,1,1,1,1,1,0,1,122100,396.1,33,7018,7470,6.05,1-Jan-19
184,0.5572,Public,City,1149,33036,1,1,0,1,1,1,1,1,1,1,1,1,42400,396.1,26,16277,8120,12.67,30-Nov-18
214,0.6043,Private nonprofit,City,1249,50324,0,1,0,1,1,0,1,1,1,1,1,1,54900,370,28,1883,3530,4.46,15-Nov-18
74,0.3451,Private nonprofit,City,1300,61396,0,0,1,1,1,1,1,1,1,1,1,1,59800,391.4,29,16457,40220,6.05,1-Jan-19
20,0.3391,Private nonprofit,City,1380,60690,0,1,0,1,1,0,1,1,1,1,1,1,77600,391.4,32,9483,40220,6.05,1-Jan-19
135,0.6931,Private nonprofit,City,,50378,0,1,0,1,1,1,1,1,1,1,1,1,39100,290.3,,1225,2597,7.05,1-Dec-18
23,0.1141,Private nonprofit,City,1454,61748,0,1,0,1,1,1,1,1,1,1,0,1,98300,329.5,33,6480,25526,9.9,2-Jan-19
28,0.151,Private nonprofit,City,1460,54291,0,1,1,1,0,1,1,1,1,1,1,1,76800,405.9,33,3888,244094,10.73,1-Jan-19
41,0.1309,Private nonprofit,City,1481,61112,0,0,0,1,1,1,1,1,1,1,0,1,69700,608.4,33,6818,64576,9.81,1-Jan-19
99,0.6871,Private nonprofit,Suburb,,57276,0,0,0,1,1,1,1,1,1,1,1,1,48100,497.7,,2796,6710,10.65,15-Jan-19
52,0.3893,Private nonprofit,City,,60765,0,1,0,1,0,0,1,1,1,1,1,1,53500,314.1,,2182,5280,8.9,15-Jan-19
202,0.749,Public,City,1116,23055,0,1,1,1,1,0,1,1,1,1,1,1,42300,232.3,25,20252,13544,8.38,15-Jan-19
236,0.4852,Private nonprofit,Suburb,1159,48080,0,1,0,1,1,0,1,1,1,1,1,1,49800,405.9,26,1536,1714,2.75,1-Feb-19
94,0.547,Private nonprofit,Suburb,,55454,0,1,1,1,1,0,1,1,1,1,0,1,42400,391.4,,2161,632,3.57,15-Jan-19
204,0.4727,Private nonprofit,Rural,1098,52016,0,0,0,1,0,0,1,1,1,1,1,1,45700,196.2,24,1105,566,6.88,1-Mar-19
228,0.8569,Public,City,1107,20621,0,0,0,1,1,1,1,1,1,1,2,1,42000,427.4,24,11383,34412,16.21,1-Jun-19
181,0.5954,Private nonprofit,Suburb,1165,40900,0,1,0,1,1,1,1,1,1,1,1,1,49200,427.4,26,3033,34412,16.21,1-May-19
36,0.1602,Public,City,1382,33020,0,1,1,1,0,1,1,1,1,1,1,1,62500,396.1,32,27126,12872,10.69,30-Nov-18
195,0.7696,Private nonprofit,Suburb,,51977,0,1,0,1,1,0,1,1,1,1,1,1,54800,391.4,,2274,452,1.88,15-Jan-19
107,0.3329,Public,City,1313,30092,0,1,0,1,1,1,1,1,1,1,1,1,55200,396.1,30,24801,69480,4.96,30-Nov-18
137,0.8131,Private nonprofit,City,1209,54536,0,1,0,1,0,0,1,1,1,1,0,1,44400,232.3,27,2009,14408,8.82,15-Jan-19
257,0.7177,Private nonprofit,Town,1170,51883,0,1,0,1,0,1,1,1,1,1,0,1,44800,314.1,26,1968,598,4.53,15-Feb-19
70,0.5521,Public,City,1240,25637,1,1,1,1,1,1,1,1,1,1,1,1,57200,285.2,28,29468,83694,12.24,1-Dec-18
75,0.4809,Private nonprofit,City,,60109,0,1,0,1,0,0,1,1,1,1,1,1,52200,314.1,,2315,1130,5.96,1-Feb-19
126,0.6783,Public,Suburb,1194,23357,1,1,1,1,2,2,1,1,1,2,2,2,53100,489.1,27,18222,1432,4.29,15-Jan-19
93,0.318,Private nonprofit,City,1337,57535,0,1,0,1,0,0,1,1,1,1,1,1,62900,196.2,31,3223,19574,8.86,15-Jan-19
92,0.7157,Private nonprofit,Town,1263,47897,0,1,0,1,1,0,1,1,1,1,0,1,41000,211.6,29,1379,700,4.19,15-Jan-19
34,0.3302,Public,Suburb,1373,28329,0,0,0,1,0,0,1,1,1,1,1,1,59300,196.2,31,6256,410,2.75,1-Jan-19
258,0.7569,Private nonprofit,City,,52462,0,1,0,1,1,0,1,1,1,1,1,1,42400,446.1,,1463,80966,13.03,1-Jun-19
19,0.1735,Private nonprofit,City,1414,62179,0,0,0,1,0,0,1,1,1,1,1,1,99400,1244.4,32,7211,76886,11.44,10-Jan-19
48,0.2542,Private nonprofit,City,,61000,0,1,0,0,0,1,1,1,1,1,0,1,59000,127.8,,1773,1600,4.42,1-Jan-19
270,0.7554,Private nonprofit,Suburb,1133,48457,0,1,0,1,1,0,1,1,1,1,1,1,53400,261.2,25,5609,608,3.71,1-Jun-19
3,0.0596,Private nonprofit,City,1501,59950,0,1,0,1,0,1,1,1,1,1,0,1,112800,391.4,34,7236,5888,5.31,1-Jan-19
198,0.3222,Private nonprofit,City,1420,57981,0,1,1,1,0,1,1,1,1,1,1,1,61900,391.4,32,13492,40220,6.05,1-Jan-19
169,0.5879,Private nonprofit,City,1308,57138,0,0,0,1,0,1,1,1,0,1,0,0,73500,365.3,30,2208,6016,9.86,1-Mar-19
2,0.0744,Private nonprofit,Suburb,1491,57400,0,0,1,0,0,1,1,1,1,1,0,1,93200,261.2,33,5258,534,1.75,1-Jan-19
244,0.7554,Public,City,1073,25442,0,0,0,1,1,1,1,1,1,1,1,1,50000,497.7,23,2688,7154,5.4,1-Jun-19
192,0.4026,Private nonprofit,City,1296,49323,0,1,0,1,1,1,1,1,1,1,1,1,50000,406,29,3441,49040,12.21,1-Nov-18
190,0.7887,Public,Suburb,1188,29172,0,0,0,1,0,0,1,1,1,1,0,1,45200,446.1,26,1668,302,9.07,1-Jan-19
110,0.8416,Public,City,1207,28887,0,1,1,1,1,1,1,1,1,1,1,1,47000,309.1,27,25873,6094,5.7,15-Jan-19
183,,Public,City,,,0,0,0,0,0,0,0,0,0,0,0,0,52000,406,,828,59552,9.44,30-Jun-19
260,0.3533,Public,City,1085,15117,0,1,0,1,1,0,1,1,1,1,1,1,41400,381.8,,12925,359896,4.21,1-Jun-19
44,0.2506,Private nonprofit,Town,1332,59960,0,0,0,0,0,0,1,1,1,1,0,1,38300,284.9,30,1651,75968,8.96,15-Jan-19
69,0.2682,Private nonprofit,Suburb,1366,59908,0,1,0,1,1,0,1,1,1,1,1,1,71800,377.3,31,7730,61348,13.2,15-Jan-19
232,0.643,Private nonprofit,City,1162,42090,0,1,0,1,1,1,1,1,1,1,1,1,48900,370,26,4585,10440,8.99,1-Feb-19
179,0.818,Private nonprofit,City,1221,55075,0,0,0,1,1,0,1,1,1,1,1,1,65500,381.8,26,2814,359896,4.21,15-Feb-19
264,0.5566,Private nonprofit,Town,,54067,0,1,0,1,0,0,1,1,1,1,1,1,46700,446.1,,1408,326,6.4,15-Feb-19
271,0.7501,Private nonprofit,Suburb,1115,46717,0,1,0,1,1,1,1,1,1,1,1,1,44900,285.2,26,2874,29518,14.27,1-Jun-19
215,0.7391,Private nonprofit,City,1130,55995,0,0,1,1,1,1,1,1,1,1,1,1,51100,1244.4,25,3529,76886,11.44,15-Feb-19
182,0.8046,Private nonprofit,Suburb,,50806,0,1,0,1,1,1,1,1,1,1,1,1,45800,99.3,,2038,596,3.42,1-Feb-19
76,0.376,Private nonprofit,City,,60682,0,0,1,1,1,0,1,1,1,1,0,1,49300,236.9,,1875,1588,5.81,1-Jan-19
117,0.9087,Public,City,1002,18755,0,0,0,2,1,1,1,1,1,1,1,1,34500,365.3,22,9314,17854,6.87,1-Aug-19
80,0.9962,Private nonprofit,Town,1041,11139,1,1,0,2,1,1,1,1,1,1,2,1,39900,212.2,23,23865,386,1.4,1-Feb-19
231,0.8691,Public,City,1145,18828,1,1,1,1,1,1,1,1,1,1,1,1,47600,273.5,25,28336,2646,4.11,1-Jul-19
127,0.7344,Public,City,1191,28348,1,1,0,1,1,1,1,1,1,1,1,1,44500,99.3,27,9958,3098,7.35,15-Jan-19
193,0.4887,Private nonprofit,City,1207,50440,1,1,0,1,1,1,1,1,1,1,1,1,51700,405.9,27,8600,68222,8.22,15-Feb-19
240,0.5372,Private nonprofit,Town,1090,46378,0,0,0,1,1,0,1,1,1,1,1,1,41300,497.7,24,1032,930,10.75,30-Jun-19
174,0.516,Public,City,1253,22046,1,1,1,1,1,1,1,1,1,1,1,1,49200,329.5,28,22925,3956,2.47,1-Feb-19
95,0.4379,Private nonprofit,City,1297,61394,0,1,0,1,0,1,1,1,1,1,1,1,70000,1244.4,29,10433,76886,11.44,10-Jan-19
90,0.5553,Private nonprofit,Suburb,,56520,0,1,0,1,1,0,1,1,1,1,0,1,47100,284.9,,2265,75968,8.96,15-Jan-19
269,0.5216,Private nonprofit,City,1170,52348,1,1,0,1,1,0,1,1,1,1,1,1,51000,391.4,26,1598,40220,6.05,1-Feb-19
140,0.6664,Private nonprofit,Suburb,,60048,1,1,1,1,1,0,1,1,1,1,1,1,29600,391.4,,1358,668,1.67,1-Jan-19
54,0.3641,Private nonprofit,City,,61340,0,1,0,1,1,1,1,1,1,1,1,1,61200,381.8,,6074,20210,9.63,1-Jan-19
176,0.7929,Private nonprofit,City,1230,55948,0,0,0,1,1,0,1,1,1,1,1,1,46400,285.2,28,2550,29518,14.27,15-Jan-19
207,0.6846,Private nonprofit,City,1205,48784,0,0,0,1,1,0,1,1,1,1,1,1,61100,365.3,27,4013,105002,12.16,1-Feb-19
227,0.827,Private nonprofit,Rural,1261,35716,0,0,0,0,0,0,0,0,0,0,0,0,32800,396.1,28,378,1004,3.27,1-Aug-19
13,0.1311,Private nonprofit,City,1461,63028,0,1,0,1,1,1,1,1,1,1,1,1,73500,370,33,8725,3892,5.13,1-Jan-19
123,0.7295,Private nonprofit,City,,51897,0,1,0,0,1,0,1,1,1,1,0,1,40500,290.3,,1483,2886,3.88,15-Jan-19
251,0.6334,Private nonprofit,City,1212,48958,0,1,0,2,1,0,1,1,2,1,2,1,51800,370,27,10042,210116,7.7,1-Jun-19
18,0.0876,Private nonprofit,City,1505,64988,0,1,0,1,0,0,1,1,1,2,0,1,81700,370,34,5729,210116,7.7,1-Jan-19
58,0.4933,Private nonprofit,Suburb,1313,58519,0,1,0,1,1,1,1,1,1,1,1,1,70700,314.1,30,6895,24124,7.86,15-Jan-19
222,0.7448,Public,Town,1226,19368,1,0,0,1,0,0,1,1,1,1,1,1,40900,442.9,27,5394,872,4.94,15-Mar-19
38,0.2624,Private nonprofit,Town,1369,60050,0,1,0,1,1,0,1,1,1,1,0,1,62600,381.8,31,2865,5090,8.33,15-Jan-19
132,0.6721,Private nonprofit,Town,,61920,0,1,1,1,1,0,1,1,1,1,0,1,30900,99.3,,631,748,4.87,3-Jan-19
134,0.4812,Private nonprofit,City,1254,59105,0,0,0,1,1,1,1,1,1,1,1,1,53400,381.8,28,8485,359896,4.21,1-Jan-19
42,0.1856,Public,City,1330,32074,0,1,1,1,0,1,1,1,1,1,1,1,58800,396.1,30,29627,237318,5.99,30-Nov-18
151,0.3742,Public,City,1168,29759,0,1,1,1,1,1,1,1,1,1,1,1,51500,396.1,26,24474,8024,3.11,30-Nov-18
